
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:4000           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:6646           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7393           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:17500          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:26769          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:26770          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49688          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9229         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9229         127.0.0.1:56135        ESTABLISHED
  TCP    127.0.0.1:10533        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:10533        127.0.0.1:56722        ESTABLISHED
  TCP    127.0.0.1:15292        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:15393        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:16494        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:45375        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:45623        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:53046        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:53047        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:53047        127.0.0.1:53272        ESTABLISHED
  TCP    127.0.0.1:53272        127.0.0.1:53047        ESTABLISHED
  TCP    127.0.0.1:55550        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:56135        127.0.0.1:9229         ESTABLISHED
  TCP    127.0.0.1:56718        127.0.0.1:10533        TIME_WAIT
  TCP    127.0.0.1:56719        127.0.0.1:10533        TIME_WAIT
  TCP    127.0.0.1:56722        127.0.0.1:10533        ESTABLISHED
  TCP    127.0.0.1:60970        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:63112        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:63197        127.0.0.1:63198        ESTABLISHED
  TCP    127.0.0.1:63198        127.0.0.1:63197        ESTABLISHED
  TCP    127.0.0.1:64724        0.0.0.0:0              LISTENING
  TCP    192.168.0.104:139      0.0.0.0:0              LISTENING
  TCP    192.168.0.104:52910    20.198.119.143:443     ESTABLISHED
  TCP    192.168.0.104:52950    142.250.182.10:443     ESTABLISHED
  TCP    192.168.0.104:52952    52.114.40.54:443       ESTABLISHED
  TCP    192.168.0.104:52991    52.114.40.56:443       ESTABLISHED
  TCP    192.168.0.104:53083    52.194.25.75:443       ESTABLISHED
  TCP    192.168.0.104:53236    34.237.73.95:443       ESTABLISHED
  TCP    192.168.0.104:53237    20.198.119.143:443     ESTABLISHED
  TCP    192.168.0.104:53284    172.253.118.188:5228   ESTABLISHED
  TCP    192.168.0.104:53461    52.111.252.0:443       ESTABLISHED
  TCP    192.168.0.104:56122    52.111.252.7:443       ESTABLISHED
  TCP    192.168.0.104:56159    104.40.53.219:443      CLOSE_WAIT
  TCP    192.168.0.104:56410    104.18.29.218:443      ESTABLISHED
  TCP    192.168.0.104:56428    76.223.31.44:443       ESTABLISHED
  TCP    192.168.0.104:56444    34.120.195.249:443     ESTABLISHED
  TCP    192.168.0.104:56446    54.165.131.166:443     ESTABLISHED
  TCP    192.168.0.104:56450    34.196.57.153:443      ESTABLISHED
  TCP    192.168.0.104:56493    162.125.35.136:443     ESTABLISHED
  TCP    192.168.0.104:56534    3.214.119.50:443       ESTABLISHED
  TCP    192.168.0.104:56635    15.207.187.50:443      ESTABLISHED
  TCP    192.168.0.104:56638    142.250.77.138:443     CLOSE_WAIT
  TCP    192.168.0.104:56650    162.247.243.29:443     ESTABLISHED
  TCP    192.168.0.104:56676    20.204.151.230:443     ESTABLISHED
  TCP    192.168.0.104:56690    20.189.173.13:443      TIME_WAIT
  TCP    192.168.0.104:56711    20.189.173.10:443      TIME_WAIT
  TCP    192.168.0.104:56712    54.157.157.211:443     ESTABLISHED
  TCP    192.168.0.104:56713    54.157.157.211:443     TIME_WAIT
  TCP    192.168.0.104:56725    54.90.12.118:443       ESTABLISHED
  TCP    192.168.0.104:56726    204.79.197.239:443     ESTABLISHED
  TCP    192.168.0.104:56727    52.114.16.177:443      ESTABLISHED
  TCP    192.168.0.104:56728    40.126.17.135:443      TIME_WAIT
  TCP    192.168.0.104:56729    40.126.17.135:443      TIME_WAIT
  TCP    192.168.0.104:56730    162.125.35.134:443     ESTABLISHED
  TCP    192.168.0.104:56732    13.67.9.5:443          ESTABLISHED
  TCP    192.168.0.104:56733    162.125.8.20:443       ESTABLISHED
  TCP    192.168.0.104:56735    104.16.100.29:443      TIME_WAIT
  TCP    192.168.0.104:56736    162.125.65.18:443      TIME_WAIT
  TCP    192.168.0.104:56737    162.125.9.18:443       TIME_WAIT
  TCP    192.168.0.104:56738    162.125.8.18:443       TIME_WAIT
  TCP    192.168.0.104:56739    162.125.67.18:443      TIME_WAIT
  TCP    192.168.0.104:56741    162.125.248.18:443     TIME_WAIT
  TCP    192.168.0.104:56742    162.125.70.18:443      TIME_WAIT
  TCP    192.168.0.104:56743    162.125.68.18:443      TIME_WAIT
  TCP    192.168.0.104:56746    162.125.35.138:443     TIME_WAIT
  TCP    192.168.0.104:56747    162.125.81.18:443      TIME_WAIT
  TCP    192.168.0.104:56748    162.125.83.18:443      TIME_WAIT
  TCP    192.168.0.104:56749    162.125.85.18:443      TIME_WAIT
  TCP    192.168.0.104:56750    162.125.5.18:443       TIME_WAIT
  TCP    192.168.0.104:56751    162.125.81.18:443      TIME_WAIT
  TCP    192.168.0.104:56752    162.125.6.18:443       TIME_WAIT
  TCP    192.168.0.104:56753    162.125.3.18:443       TIME_WAIT
  TCP    192.168.0.104:56754    162.125.81.18:443      TIME_WAIT
  TCP    192.168.0.104:56755    162.125.1.18:443       TIME_WAIT
  TCP    192.168.0.104:56756    162.125.66.18:443      TIME_WAIT
  TCP    192.168.0.104:56757    162.125.2.18:443       TIME_WAIT
  TCP    192.168.0.104:56758    162.125.68.18:443      TIME_WAIT
  TCP    192.168.0.104:56759    162.125.80.18:443      TIME_WAIT
  TCP    192.168.0.104:56760    162.125.4.18:443       TIME_WAIT
  TCP    192.168.0.104:56762    162.125.84.18:443      TIME_WAIT
  TCP    192.168.0.104:56763    162.125.7.18:443       TIME_WAIT
  TCP    192.168.0.104:56764    162.125.71.18:443      TIME_WAIT
  TCP    192.168.0.104:56765    162.125.69.18:443      TIME_WAIT
  TCP    192.168.0.104:56766    162.125.64.18:443      TIME_WAIT
  TCP    192.168.0.104:56767    162.125.72.18:443      TIME_WAIT
  TCP    192.168.0.104:56768    162.125.11.18:443      TIME_WAIT
  TCP    192.168.0.104:56769    23.100.109.78:443      ESTABLISHED
  TCP    192.168.0.104:56770    204.79.197.200:443     ESTABLISHED
  TCP    192.168.0.104:56771    20.189.173.10:443      ESTABLISHED
  TCP    192.168.0.104:56774    13.33.146.37:443       ESTABLISHED
  TCP    192.168.0.104:56775    52.98.123.242:443      ESTABLISHED
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:2869              [::]:0                 LISTENING
  TCP    [::]:3000              [::]:0                 LISTENING
  TCP    [::]:4000              [::]:0                 LISTENING
  TCP    [::]:17500             [::]:0                 LISTENING
  TCP    [::]:26769             [::]:0                 LISTENING
  TCP    [::]:26770             [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49668             [::]:0                 LISTENING
  TCP    [::]:49688             [::]:0                 LISTENING
  TCP    [::1]:3000             [::1]:56306            ESTABLISHED
  TCP    [::1]:3000             [::1]:56309            ESTABLISHED
  TCP    [::1]:4000             [::1]:56355            ESTABLISHED
  TCP    [::1]:4000             [::1]:56724            ESTABLISHED
  TCP    [::1]:7679             [::]:0                 LISTENING
  TCP    [::1]:42050            [::]:0                 LISTENING
  TCP    [::1]:49669            [::]:0                 LISTENING
  TCP    [::1]:56306            [::1]:3000             ESTABLISHED
  TCP    [::1]:56309            [::1]:3000             ESTABLISHED
  TCP    [::1]:56355            [::1]:4000             ESTABLISHED
  TCP    [::1]:56724            [::1]:4000             ESTABLISHED
  UDP    0.0.0.0:500            *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:4500           *:*                    
  UDP    0.0.0.0:5050           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:6646           *:*                    
  UDP    0.0.0.0:17500          *:*                    
